Entity,Year,"Expenditure per student as % of GDP (primary), 1974-2014 (World Bank (2015))","Teacher-pupil ratio (primary), 1970-2014 (World Bank (2015))","Government expenditure per student, primary (% of GDP per capita) (World Bank (2015))","Government expenditure per student, secondary (% of GDP per capita) (World Bank (2015))","Government expenditure per student, tertiary (% of GDP per capita) (World Bank (2015))",Total government expenditure on education (World Bank (2015)),Share of education in government expenditure (World Bank (2015)),Expenditure on primary as % of government expenditure on education (World Bank (2015))
Hong Kong,2014,,,,,,3.57196,17.6204,18.85407
Hungary,1996,,,,,,4.35434,,
Hungary,1998,17.75601,,17.75601,18.04581,34.87525,4.42302,8.73522,19.70929
Hungary,1999,17.62429,,17.62429,18.69591,33.59127,4.57708,9.42253,18.93026
Hungary,2000,18.97965,,18.97965,20.12962,34.10634,4.87956,10.32352,19.08233
Hungary,2001,19.64208,,19.64208,19.57399,32.19603,4.95096,10.45495,19.07292
Hungary,2002,20.0074,,20.0074,20.55927,31.51438,5.19788,10.17901,18.10654
Hungary,2003,21.51897,,21.51897,26.26344,31.2932,5.82966,11.82985,16.909
Hungary,2004,23.09381,,23.09381,23.25957,24.08066,5.3774,11.00593,18.97679
Hungary,2005,25.33439,,25.33439,22.83699,23.52525,5.38289,10.80056,20.0893
Hungary,2006,25.29815,,25.29815,22.96095,23.54556,5.35814,10.32768,19.49534
Hungary,2007,24.93504,,24.93504,23.07959,23.85919,5.19448,10.33821,19.05888
Hungary,2008,21.61226,,21.61226,22.61309,24.38996,5.02306,10.27063,16.89833
Hungary,2009,21.76997,,21.76997,22.3493,27.8608,5.01172,9.86443,16.88135
Hungary,2010,22.15795,,22.15795,21.45968,24.91316,4.81825,9.68474,17.8417
Hungary,2011,19.33122,,19.33122,20.64969,28.37007,4.64508,9.30398,16.14951
Hungary,2012,18.90532,,18.90532,19.72583,20.92511,,,
Iceland,1996,,,,,,5.14888,,
Iceland,1998,,,,,,6.79484,16.71814,
Iceland,1999,21.45114,,21.45114,18.66678,38.1104,6.45606,15.58284,36.36103
Iceland,2000,21.58381,,21.58381,18.43201,34.13644,6.48736,15.75082,37.01107
Iceland,2001,20.96573,,20.96573,20.86915,33.8575,6.77809,16.22192,34.50186
Iceland,2002,24.50451,,24.50451,21.75379,33.20496,7.40496,17.10422,36.21417
Iceland,2003,23.4572,,23.4572,21.14568,29.47821,7.31222,16.39488,34.86933
Iceland,2004,23.60989,,23.60989,22.26207,26.53233,7.20723,16.82493,34.75124
Iceland,2005,24.85569,,24.85569,22.06014,27.55071,7.36224,17.80961,35.02579
Iceland,2006,25.42088,,25.42088,22.13557,25.52764,7.34849,17.92521,34.6421
Iceland,2007,24.89424,,24.89424,20.66503,26.06921,7.01096,17.21768,34.28524
Iceland,2008,25.59239,,25.59239,20.8757,27.17468,7.22594,13.03326,33.41234
Iceland,2009,25.65199,,25.65199,21.40684,28.31921,7.3752,15.16028,32.60843
Iceland,2010,25.07635,,25.07635,20.02638,27.23154,7.20091,14.60396,32.37552
Iceland,2011,25.71867,,25.71867,20.26739,23.1691,7.03659,15.41527,33.66935
India,1997,,,,,,2.82791,10.74359,
India,1998,,,,,,3.51098,14.77773,
India,1999,11.83843,,11.83843,24.63942,,4.33929,17.64342,30.04633
India,2000,14.40171,,14.40171,24.58912,94.01622,4.25026,17.49648,37.55736
India,2001,13.3116,,13.3116,23.21726,,,,
India,2003,10.98533,,10.98533,19.65584,67.99827,3.55114,12.92223,36.07693
India,2004,,,,17.73541,60.84542,3.29476,11.55219,36.37518
India,2005,,,,16.68555,57.78964,3.1338,11.53216,35.58925
India,2006,,,,16.17595,54.97967,3.09073,11.78109,35.38399
India,2009,7.27265,,7.27265,13.025,74.31089,3.21076,10.82184,26.68135
India,2010,7.19477,,7.19477,13.56898,68.7199,3.31959,11.74278,25.20659
India,2011,9.01115,,9.01115,15.52896,58.25678,3.7232,13.67652,26.54745
India,2012,9.03908,,9.03908,15.1537,54.87876,3.8256,14.06268,27.21284
Indonesia,1996,,,,,,1.07855,,
Indonesia,1997,,,,,,1.07208,,
Indonesia,2001,,,,,,2.46003,11.59399,
Indonesia,2002,,,,,,2.64569,14.36723,
Indonesia,2003,,,,,,3.218,16.27864,
Indonesia,2004,,,,,,2.74847,14.1703,
Indonesia,2005,,,,,,2.87282,15.1488,
Indonesia,2007,11.41725,,11.41725,9.43199,23.5639,3.04425,14.94431,48.38247
Indonesia,2008,11.3014,,11.3014,9.37499,16.88501,2.9019,13.67475,49.04317
Indonesia,2009,13.42389,,13.42389,10.93441,20.95878,3.52513,19.30844,47.94577
Indonesia,2010,10.55644,,10.55644,8.77396,23.13342,2.81228,16.65418,44.44568
Indonesia,2011,11.44472,,11.44472,9.52368,23.8381,3.18944,18.06186,42.75231
Indonesia,2012,11.94684,,11.94684,10.69236,24.26689,3.40748,18.09042,41.76111
Indonesia,2013,,,,,,3.36659,17.59418,42.46006
Iran,1996,,,,,,3.75548,,
Iran,1999,,,,,,4.53346,20.11292,
Iran,2000,,,,,,4.38467,20.63385,
Iran,2001,9.39779,,9.39779,10.17875,35.84448,4.40555,24.42417,25.78937
Iran,2002,11.38172,,11.38172,12.07382,38.83154,4.92935,26.33352,25.94668
Iran,2003,11.24053,,11.24053,12.11421,32.52129,4.82068,21.65296,24.19935
Iran,2004,11.66812,,11.66812,12.69228,26.73362,4.87207,21.47405,23.22785
Iran,2005,11.8403,,11.8403,12.50708,23.65626,4.72296,22.32196,22.43949
Iran,2006,16.77745,,16.77745,18.88453,30.473,5.05938,19.34813,28.393
Iran,2007,19.18059,,19.18059,22.55661,28.07409,5.04763,19.87443,28.67484
Iran,2008,16.72842,,16.72842,20.52577,20.94559,4.45332,20.57943,27.86351
Iran,2009,14.42713,,14.42713,20.28263,21.26651,4.45065,18.02354,25.40941
Iran,2010,13.73117,,13.73117,20.9662,17.64525,4.25877,18.80435,24.68077
Iran,2011,14.45335,,14.45335,16.3686,19.94797,4.05015,19.1267,27.21379
Iran,2012,12.04646,,12.04646,15.85879,17.09499,3.31111,17.03431,25.4062
Iran,2013,9.38266,,9.38266,,14.77161,3.31579,21.67391,26.2146
Iran,2014,,,,,,3.06152,19.67193,26.76389
Ireland,1996,,,,,,4.75987,,
Ireland,1998,11.23652,,11.23652,16.94858,28.53004,4.30612,12.38154,32.69514
Ireland,1999,10.78173,,10.78173,16.43172,27.96595,4.14717,12.18244,31.61205
Ireland,2000,10.85487,,10.85487,15.96661,29.83061,4.15894,13.38861,30.84112
Ireland,2001,11.46211,,11.46211,16.68039,27.29149,4.11753,12.59213,31.94093
Ireland,2002,11.84203,,11.84203,17.2899,25.45468,4.12974,12.43247,32.52211
Ireland,2003,12.89713,,12.89713,18.60321,23.12107,4.22634,12.75296,34.1786
Ireland,2004,13.64595,,13.64595,20.20748,22.8482,4.50573,13.54971,33.51409
Ireland,2005,14.02486,,14.02486,20.7755,23.63904,4.54981,13.58013,33.64608
Ireland,2006,14.35025,,14.35025,21.7034,25.17192,4.57605,13.42976,33.87118
Ireland,2007,15.30976,,15.30976,22.57771,25.48797,4.72311,13.12946,35.06306
Ireland,2008,18.13639,,18.13639,26.88772,31.99907,5.47034,13.01657,35.95779
Ireland,2009,20.17947,,20.17947,29.00975,36.61206,6.20758,13.04314,35.75473
Ireland,2010,19.54493,,19.54493,28.14124,32.07347,6.14069,9.29551,35.34528
Ireland,2011,18.70069,,18.70069,27.51488,29.63685,5.85089,12.68265,35.71834
Ireland,2012,,,,,,5.84453,13.83413,36.8972
Israel,1998,,,,,31.11334,6.7094,,36.19837
Israel,1999,21.29832,,21.29832,18.86333,29.47004,6.4695,,35.59937
Israel,2000,20.28154,,20.28154,17.9099,27.70576,6.15953,12.72266,35.42847
Israel,2001,22.03258,,22.03258,18.72796,27.30441,6.43396,12.72572,36.42922
Israel,2002,22.67327,,22.67327,19.02143,23.93741,6.53367,12.6119,36.63361
Israel,2003,21.9739,,21.9739,18.51995,26.34311,6.42538,12.68165,35.89366
Israel,2004,21.12832,,21.12832,18.03936,22.36782,6.009,12.60446,36.89154
Israel,2005,20.9262,,20.9262,17.30555,21.4627,5.81307,12.50637,37.50441
Israel,2006,20.82167,,20.82167,17.45426,21.84677,5.82873,12.92004,37.28659
Israel,2007,20.01367,,20.01367,16.13961,21.49369,5.57333,12.88462,37.90018
Israel,2008,20.11081,,20.11081,17.24966,20.10171,5.59197,13.04756,37.8556
Israel,2009,20.05987,,20.05987,15.98941,20.8812,5.52088,12.91916,38.15643
Israel,2010,21.6194,,21.6194,15.35465,19.86108,5.56116,13.25932,41.17368
Israel,2011,22.69348,,22.69348,15.464,19.40873,5.63281,13.49082,42.61741
Italy,1996,,,,,,4.4579,,
Italy,1998,22.19647,,22.19647,26.44968,22.13373,4.46177,9.2389,24.63552
Italy,1999,23.104,,23.104,26.65513,26.49041,4.52157,9.54947,25.81831
Italy,2000,22.27331,,22.27331,25.60651,25.57465,4.29715,9.44847,25.81831
Italy,2001,22.78177,,22.78177,28.95324,23.99885,4.667,9.82544,24.07855
Italy,2002,23.47265,,23.47265,25.88816,25.30652,4.44524,9.50514,25.81831
Italy,2003,24.08902,,24.08902,27.11302,22.39174,4.55283,9.64084,25.65385
Italy,2004,23.62787,,23.62787,25.89058,21.59095,4.39519,9.38801,25.79931
Italy,2005,21.83874,,21.83874,25.4016,21.06506,4.24747,9.01373,24.57947
Italy,2006,23.68157,,23.68157,26.90721,22.07633,4.53567,9.52719,25.05577
Italy,2007,21.39781,,21.39781,23.81531,20.91173,4.11659,8.80193,25.08452
Italy,2008,23.08066,,23.08066,25.2328,23.55753,4.40076,9.20517,25.23137
Italy,2009,23.93076,,23.93076,25.24429,24.33405,4.53407,8.86717,25.17905
Italy,2010,22.81787,,22.81787,23.92587,24.42705,4.34919,8.72395,24.97795
Italy,2011,21.50027,,21.50027,22.55128,24.18567,4.14054,8.43019,24.72651
Italy,2012,20.49807,,20.49807,22.64415,,,,
Jamaica,1996,,,,,,4.16108,,
Jamaica,1997,,,,,,4.96098,,
Jamaica,2000,,,,,,5.0151,16.7966,
Jamaica,2001,,,,,70.36766,5.41476,19.99115,
Jamaica,2002,,,,,59.6892,5.42852,18.36393,
Jamaica,2003,12.46754,,12.46754,20.0041,32.06795,4.25685,13.36234,36.43051
Jamaica,2004,10.11614,,10.11614,17.53223,36.99033,3.91255,11.73302,32.63466
Jamaica,2005,12.7532,,12.7532,18.74788,56.41668,4.61707,14.26937,34.22772
Jamaica,2007,17.33665,,17.33665,19.92075,,5.49138,17.17305,36.89191
Jamaica,2008,15.81638,,15.81638,26.76937,42.3761,6.19327,19.11938,30.2266
Jamaica,2009,17.61464,,17.61464,22.99211,54.59886,6.19928,17.55284,33.2067
Jamaica,2010,21.07242,,21.07242,23.98166,52.27613,6.36821,16.10294,36.31668
Jamaica,2011,20.63229,,20.63229,25.75061,47.29546,6.26177,18.58193,35.46353
Jamaica,2012,21.68875,,21.68875,,37.05339,6.11707,18.80926,37.24792
Jamaica,2013,22.49836,,22.49836,29.40933,40.08785,6.2562,20.57386,36.28717
Jamaica,2014,,,,,,5.98413,21.79749,36.41514
Japan,1998,19.82051,,19.82051,19.84104,13.121,3.42623,10.2068,36.17879
Japan,1999,20.77577,,20.77577,20.57227,14.89857,3.53673,10.33425,35.74702
Japan,2000,21.32105,,21.32105,20.85101,17.44505,3.61888,9.93041,35.02887
Japan,2001,21.56811,,21.56811,20.94136,17.17726,3.57129,9.63897,35.20738
Japan,2002,22.13843,,22.13843,21.62423,17.10428,3.58506,9.85811,35.5792
Japan,2003,22.58453,,22.58453,22.23832,19.56811,3.64257,9.94637,35.36316
Japan,2004,22.33826,,22.33826,22.27578,20.44783,3.59859,9.93784,35.27242
Japan,2005,21.97623,,21.97623,22.15156,19.01564,3.48391,10.29182,35.70568
Japan,2006,21.84682,,21.84682,22.27657,18.98276,3.46274,10.15117,35.69572
Japan,2007,21.74553,,21.74553,22.43116,20.17645,3.46368,10.04298,35.45369
Japan,2008,21.62703,,21.62703,22.42991,21.09108,3.44024,10.32735,35.1957
Japan,2010,23.81039,,23.81039,24.41373,25.35085,3.78135,9.45758,34.90912
Japan,2011,23.48148,,23.48148,25.40239,24.27641,3.77827,9.70961,34.11106
Japan,2012,23.79371,,23.79371,25.75359,25.50498,3.8497,9.48014,33.48106
Japan,2013,,,,,,3.81849,9.57815,33.39922
Jordan,1996,,,,,,7.47599,,
Jordan,1997,,,,,,6.36608,18.4214,
Jordan,1998,13.31063,,13.31063,,,,,
Jordan,1999,13.65542,,13.65542,15.81396,,4.94514,14.18371,41.66841
Jordan,2002,14.37036,,14.37036,17.00903,,,,
Jordan,2003,15.77471,,15.77471,18.75514,,,,
Jordan,2004,14.54817,,14.54817,17.58959,,,,
Jordan,2005,15.43666,,15.43666,19.05343,,,,
Jordan,2006,12.84265,,12.84265,16.27762,,,,
Jordan,2007,12.56809,,12.56809,16.14319,,,,
Jordan,2008,12.32949,,12.32949,14.78937,,,,
Jordan,2011,12.24048,,12.24048,15.06247,,,,
Kazakhstan,1996,,,,,,3.92371,,
Kazakhstan,1997,,,,,,4.37343,,
Kazakhstan,1999,,,,,,3.89257,,
Kazakhstan,2000,,,,,,3.25662,,
Kazakhstan,2002,,,,,,3.0297,14.75948,
Kazakhstan,2004,,,,,,2.25591,10.26694,
Kazakhstan,2005,,,,,5.59704,2.26353,10.22782,
Kazakhstan,2006,,,,,7.49532,2.62678,13.26734,
Kazakhstan,2007,,,,,,2.83139,11.94463,
Kazakhstan,2008,,,,,,2.58946,13.64712,
Kazakhstan,2009,,,,,,3.06072,13.0409,
Kazakhstan,2013,,,,,,2.83413,14.01982,0.68512
Kazakhstan,2014,,,,,,2.88742,12.60609,0.85737
Kenya,1999,,,,,,5.32324,24.04598,
Kenya,2000,21.37795,,21.37795,14.37943,207.99622,5.18673,23.06399,68.08704
Kenya,2001,20.90685,,20.90685,15.80512,225.25401,5.20621,22.11042,66.0845
Kenya,2002,,,,,,6.172,25.62821,
Kenya,2003,23.21593,,23.21593,20.33649,,6.49427,24.98009,62.9527
Kenya,2004,24.15592,,24.15592,22.27,274.43411,6.79693,26.66815,62.11754
Kenya,2005,,,,,,7.33565,27.30884,
Kenya,2006,22.37319,,22.37319,21.16667,,7.04984,24.95597,54.10875
Kenya,2010,,,,,,5.50822,20.55599,
Kiribati,1999,25.98797,,25.98797,,,10.6302,12.50751,43.04423
Kiribati,2000,24.70336,,24.70336,,,11.14303,15.26542,39.00548
Kiribati,2001,22.10054,,22.10054,,,11.98812,11.51614,34.33454
Kuwait,1996,,,,,,5.85954,,
Kuwait,1997,,,,,,5.58251,,
Kuwait,2001,16.67054,,16.67054,,,6.586,17.63889,18.77848
Kuwait,2002,16.3827,,16.3827,,117.338,6.5505,14.96518,18.77843
Kuwait,2003,16.1747,,16.1747,18.22184,126.76491,,,
Kuwait,2004,13.92749,,13.92749,15.71612,110.53202,5.53515,14.95361,18.81727
Kuwait,2005,10.17586,,10.17586,15.42553,,4.73825,13.85411,19.83133
Kuwait,2006,8.6651,,8.6651,13.22512,,3.76001,13.37001,20.41517
Kuwait,2008,10.44149,,10.44149,14.25404,,,,
Kuwait,2011,17.427,,17.427,21.75542,,,,
Kyrgyzstan,1996,,,,,,4.90261,,
Kyrgyzstan,1998,,,,,36.08043,4.91963,13.6927,
Kyrgyzstan,1999,,,,,24.20848,4.08522,11.37496,
Kyrgyzstan,2000,,,,,15.7419,3.50837,11.59721,
Kyrgyzstan,2001,,,,,17.22572,3.85419,13.70554,
Kyrgyzstan,2002,,,,,20.80131,4.44547,15.01681,
Kyrgyzstan,2003,,,,,22.34201,4.47541,15.655,
Kyrgyzstan,2004,,,,,22.78564,4.62243,15.9067,
Kyrgyzstan,2005,,,,,21.89344,4.87384,16.46192,
Kyrgyzstan,2006,,,,,22.2978,5.54986,18.43475,
Kyrgyzstan,2007,,,,,22.63517,6.467,20.32407,
Kyrgyzstan,2008,,,,,19.04264,5.91319,20.17296,
Kyrgyzstan,2009,,,,,19.6311,6.23268,18.1331,
Kyrgyzstan,2010,,,,,18.87649,5.81883,15.68476,
Kyrgyzstan,2011,,,,,,6.79062,18.1727,
Kyrgyzstan,2012,,,,,,7.38423,18.19559,
Kyrgyzstan,2013,,,,,,6.7802,17.773,
Laos,1996,,,,,,2.42975,,
Laos,1997,,,,,,2.1302,,
Laos,2000,,,,,70.57382,1.50369,7.26613,
Laos,2001,,,,,111.37579,1.99028,9.11739,
Laos,2002,8.27247,,8.27247,9.29239,85.95567,2.82522,16.20456,45.03373
Laos,2004,,,,,,2.413,16.24385,
Laos,2005,9.81286,,9.81286,,,2.41409,13.73158,62.53258
Laos,2006,,,,,,2.95879,17.48047,
Laos,2007,,,,,,3.07842,17.35746,
Laos,2008,,,,,,2.27855,13.963,
Laos,2010,,,,,,2.77387,11.89297,
Laos,2014,0,,0,0,0,4.17047,15.35253,
Latvia,1996,,,,,,3.68828,,
Latvia,1997,,,,,,3.65048,,
Latvia,1998,19.41118,,19.41118,24.98255,34.28913,3.85527,11.00897,18.778
Latvia,1999,19.50101,,19.50101,23.74678,27.94172,3.50193,9.90669,20.14742
Latvia,2000,19.65056,,19.65056,23.16935,22.6134,2.98851,10.26199,20.89552
Latvia,2001,19.60123,,19.60123,24.11859,19.47216,3.06679,11.1588,19.23077
Latvia,2002,21.83376,,21.83376,25.23379,18.51639,3.26617,11.50504,18.73112
Latvia,2003,20.22192,,20.22192,24.08692,14.20226,3.24727,10.80686,17.16637
Latvia,2004,20.21651,,20.21651,23.50571,12.08998,3.21245,10.19194,16.28647
Latvia,2006,36.19097,,36.19097,18.71972,15.37032,3.2848,9.77717,25.35986
Latvia,2007,22.51651,,22.51651,23.34425,15.80123,3.26785,9.88639,24.82457
Latvia,2008,28.3335,,28.3335,27.65823,16.87829,3.79084,10.37558,26.67222
Latvia,2009,29.78959,,29.78959,30.68084,13.44122,3.91929,9.15413,28.18896
Latvia,2010,26.43545,,26.43545,27.48354,14.88611,3.55563,8.29944,28.48895
Latvia,2011,24.70504,,24.70504,25.82273,20.03415,3.48792,8.95797,27.62784
Latvia,2012,23.19265,,23.19265,24.67494,19.9255,3.20394,8.73077,28.19024
Lebanon,1996,,,,,,2.08467,,
Lebanon,2001,,,,,,2.84148,7.42125,
Lebanon,2002,,,,,17.86554,2.55271,7.0563,
Lebanon,2004,,,,,16.65028,2.66674,7.93123,
Lebanon,2005,,,,,18.49008,2.67227,8.42131,
Lebanon,2006,,,,,18.04346,2.80863,7.69319,
Lebanon,2007,,,,,14.63237,2.60987,7.34104,
Lebanon,2008,,,,,12.5497,2.035,5.86977,
Lebanon,2009,,,,,10.08219,1.77877,5.503,
Lebanon,2010,,,,,9.51921,1.63173,5.53429,
Lebanon,2011,,,,,8.81529,1.64626,5.73381,
Lebanon,2012,,,,3.70763,,2.1894,7.10915,
Lebanon,2013,,,,5.10427,15.54737,2.57268,8.57552,
Lesotho,1997,,,,,,13.17703,,
Lesotho,1999,34.65706,,34.65706,77.11753,,14.1626,23.55235,49.64197
Lesotho,2000,28.17484,,28.17484,79.46895,,11.492,19.20038,48.63788
Lesotho,2001,25.91588,,25.91588,64.02772,833.88483,10.77399,23.84892,53.22691
Lesotho,2002,,,,,,11.80636,24.36376,
Lesotho,2003,,,,,,15.61544,32.10573,
Lesotho,2004,,,,,,13.27157,27.6499,
Lesotho,2005,28.50269,,28.50269,57.50284,,14.79096,32.40492,43.03617
Lesotho,2006,25.35867,,25.35867,50.43109,,13.85772,28.23381,40.12473
Lesotho,2008,22.79359,,22.79359,51.21034,,12.98201,24.69755,35.99421
Liberia,2008,,,,,,3.26127,7.27842,
Liberia,2012,,,,,9.34264,2.82069,8.10176,30.72199
Libya,1999,,,,,23.26058,2.26417,8.13873,
Liechtenstein,2003,11.08297,,11.08297,10.98745,24.56506,2.46014,,29.26718
Liechtenstein,2004,10.72728,,10.72728,10.89737,21.87839,2.43333,,29.00164
Liechtenstein,2006,9.96345,,9.96345,10.68793,10.28873,2.05381,,31.03178
Liechtenstein,2007,9.23857,,9.23857,10.11168,9.16199,1.92119,,30.56831
Liechtenstein,2008,10.81567,,10.81567,12.2501,,2.04837,,31.06497
Liechtenstein,2010,21.00574,,21.00574,12.45435,,,,
Liechtenstein,2011,17.87793,,17.87793,13.40758,,2.55604,,38.62014
Lithuania,1997,,,,,,,16.71701,
Lithuania,1998,,,,,,,16.61294,
Lithuania,2001,,,,,34.08003,,,
Lithuania,2002,,,,,32.45459,,,
Lithuania,2003,14.20866,,14.20866,19.84729,20.28571,,,14.79363
Lithuania,2004,14.67373,,14.67373,20.66216,19.55968,17.84838,,14.31399
Lithuania,2005,15.30075,,15.30075,19.35173,17.42351,16.82612,,14.91719
Lithuania,2006,15.74899,,15.74899,19.47559,16.28931,16.64437,14.28965,15.04472
Lithuania,2007,15.05357,,15.05357,19.17443,16.30739,15.85024,13.32594,14.44313
Lithuania,2008,17.13996,,17.13996,21.47364,16.15105,16.69268,13.05296,14.91504
Lithuania,2009,17.85407,,17.85407,26.0161,17.0409,19.25768,12.77762,12.96967
Lithuania,2010,22.65805,,22.65805,21.71762,19.42405,18.31372,12.85883,16.71388
Lithuania,2011,20.65208,,20.65208,19.46574,23.8194,17.69513,12.33635,15.23921
Luxembourg,1996,,,,,,3.35865,,
Luxembourg,2001,,,,,,3.60224,9.69806,
Luxembourg,2003,,,,23.77837,,,,
Luxembourg,2004,,,,22.70054,,,,
Luxembourg,2005,,,,22.8008,,,,
Luxembourg,2006,,,,20.52752,,,,
Luxembourg,2007,,,,19.1374,,,,
Luxembourg,2008,15.54926,,15.54926,22.61887,,,,
Luxembourg,2010,24.75712,,24.75712,20.302,,,,
Luxembourg,2011,24.99229,,24.99229,18.02218,,,,
Macao,1998,,,,,,3.68109,,28.94882
Macao,1999,,,,,59.71502,3.69231,,
Macao,2000,8.34131,,8.34131,11.22156,60.32274,3.67962,,24.80577
Macao,2001,,,,,,2.85865,,
Macao,2002,6.59685,,6.59685,,26.16712,2.99049,,22.03611
Macao,2003,7.71182,,7.71182,,20.39909,2.89245,,24.79608
Macao,2004,,,,,19.10848,2.3173,,
Macao,2005,,,,,21.41307,2.34887,,
Macao,2006,,,,,18.92694,2.23985,,
Macao,2007,,,,,15.89478,2.08706,,
Macao,2008,,,,,16.30367,2.22777,,
Macao,2009,,,,,15.4648,2.56586,12.90882,
Macao,2010,,,,,22.89672,2.6076,15.67268,
Macao,2011,,,,,28.67223,2.69069,16.13787,
Macao,2012,0,,0,,49.0313,3.34046,20.22375,
Macao,2013,,,,,,2.05939,14.25466,
Macedonia,1996,,,,,,4.52623,,
Macedonia,2002,,,,,24.36055,3.30015,8.64088,
Madagascar,1997,,,,,,1.84964,10.64502,
Madagascar,1998,5.89528,,5.89528,,154.24788,1.87065,9.38266,40.26915
Madagascar,1999,,,,,,2.76755,15.539,
Madagascar,2000,,,,,,2.91135,15.89018,
Madagascar,2001,,,,,,3.25033,17.68298,
Madagascar,2002,8.01871,,8.01871,,,2.71621,17.93601,
Madagascar,2003,6.97117,,6.97117,,144.59125,3.03949,15.76285,
Madagascar,2004,8.8537,,8.8537,,141.84322,3.2643,12.96052,
Madagascar,2005,11.21119,,11.21119,21.44171,157.94646,3.84817,18.03287,57.30637
Madagascar,2006,9.79933,,9.79933,15.35923,160.3315,3.28253,15.32419,58.65435
Madagascar,2007,9.30506,,9.30506,12.47769,142.69016,3.36988,18.04436,54.69952
Madagascar,2008,7.72801,,7.72801,13.54659,143.5327,2.91041,16.25801,53.57201
Madagascar,2009,7.87443,,7.87443,11.59338,146.38377,3.17751,22.5854,52.28206
Madagascar,2011,6.59146,,6.59146,10.23936,94.98787,2.78112,19.7794,47.06569
Madagascar,2012,6.55103,,6.55103,8.38618,102.60191,2.73217,20.32568,47.35179
Madagascar,2013,4.43123,,4.43123,8.01697,67.49438,2.07999,13.98948,
Malawi,1996,,,,,,5.38126,,
Malawi,1999,13.50929,,13.50929,9.68843,,4.99491,,65.2558
Malawi,2000,11.3268,,11.3268,25.4558,,5.24797,,52.8109
Malawi,2001,8.1125,,8.1125,22.15807,,4.50898,,45.22538
Malawi,2003,,,,,,4.21763,16.55257,54.9243
Malawi,2010,6.45762,,6.45762,22.09626,,4.35638,12.51796,34.76037
Malawi,2011,7.81163,,7.81163,33.1841,,5.35337,15.213,34.64087
Malawi,2013,11.38614,,11.38614,35.07649,,7.69988,20.36157,36.73603
Malawi,2014,,,,,,6.87791,16.33672,49.47836
Malaysia,1996,,,,,,4.91385,,
Malaysia,1997,,,,,,4.62038,18.98457,
Malaysia,1999,,,,,,5.68681,21.18855,
Malaysia,2000,12.55696,,12.55696,21.88317,81.65004,5.97162,21.39068,27.16796
Malaysia,2001,16.41224,,16.41224,26.62436,110.09111,7.48447,24.34852,27.79817
Malaysia,2002,19.37733,,19.37733,27.23821,98.45863,7.65793,25.9036,31.18679
Malaysia,2003,17.88944,,17.88944,25.30057,90.01364,7.50288,24.54244,29.27681
Malaysia,2004,14.06436,,14.06436,20.4076,68.74061,5.92388,21.01292,29.57187
Malaysia,2006,10.44279,,10.44279,13.87467,57.8787,4.48578,16.74557,27.70714
Malaysia,2007,11.26707,,11.26707,13.82198,48.09719,4.37255,16.12466,29.82499
Malaysia,2008,13.82728,,13.82728,12.02681,,3.95851,14.03864,39.06479
Malaysia,2009,15.31303,,15.31303,21.39179,59.63493,5.97418,18.46463,27.67631
Malaysia,2010,14.0294,,14.0294,18.64887,46.9624,5.11661,18.40623,28.5825
Malaysia,2011,17.08757,,17.08757,19.84599,60.88205,5.93474,20.97702,29.27143
Malaysia,2013,,,,,,6.29209,21.47878,30.29854
Maldives,2002,,,,,,5.7039,21.2399,
Maldives,2003,13.87381,,13.87381,,,5.36855,20.3462,54.12831
Maldives,2004,13.29918,,13.29918,,,4.75694,19.47924,54.12893
Maldives,2005,16.3675,,16.3675,,,5.21198,13.01498,54.12952
Maldives,2006,15.62612,,15.62612,,0,4.96182,13.34758,50.34166
Maldives,2007,,,,,,4.72755,12.74641,
Maldives,2008,18.01857,,18.01857,,0,4.79509,12.61971,50.35274
Maldives,2009,,,,,,7.0041,17.5128,
Maldives,2011,,,,,,5.96772,17.67886,
Maldives,2012,,,,,,5.16456,15.29215,
Mali,1998,14.9955,,14.9955,61.07476,305.78839,2.97969,,44.71073
Mali,1999,13.89282,,13.89282,54.33541,233.60014,2.98639,,44.71151
Mali,2000,,,,,,3.62371,15.32381,
Mali,2001,,,,,,3.50314,14.49319,
Mali,2002,,,,,,3.3701,14.52521,
Mali,2003,,,,,,4.10313,18.28376,
Mali,2004,,,,,,4.31077,17.73635,
Mali,2005,,,,,,4.14605,16.2803,
Mali,2008,10.73484,,10.73484,35.65522,118.71043,3.81687,18.03169,39.02518
Mali,2009,13.62216,,13.62216,34.11403,123.07333,4.39837,16.95944,43.99744
Mali,2010,6.63828,,6.63828,37.58686,135.40372,3.7898,16.50394,25.28056
Mali,2011,11.99989,,11.99989,30.51161,175.04419,4.57597,18.25828,38.46856
Mali,2012,11.27204,,11.27204,,130.04338,4.18676,22.40338,38.31502
Mali,2013,,,,,,3.91349,16.62345,39.45815
Mali,2014,,,,,,4.33446,18.22425,43.18799
Malta,1998,11.12098,,11.12098,19.97204,42.46996,4.40561,,23.57741
Malta,2002,13.05718,,13.05718,22.23444,48.40523,4.31127,9.53534,25.02397
Malta,2004,13.05996,,13.05996,18.52793,26.92821,4.79185,10.56516,21.09898
Malta,2007,20.11274,,20.11274,29.36808,39.55233,6.31293,14.53679,21.78029
Malta,2008,20.6636,,20.6636,33.07046,44.70736,5.8462,13.09073,23.11467
Malta,2009,20.00539,,20.00539,,47.40357,5.44377,12.34974,21.98299
Malta,2010,24.82125,,24.82125,35.23689,60.29184,6.91128,15.73082,21.64769
