Entity,Year,Cadmium (BGS (2016)),Cobalt (BGS (2016)),Diamond (BGS (2016)),Graphite (BGS (2016)),Lithium (BGS (2016)),Mercury (BGS (2016)),Platinum (BGS (2016)),Uranium (BGS (2016)),Silicon (BGS (2016))
Democratic Republic of Congo,1992,,,13501450,,,,,,
Democratic Republic of Congo,1993,,,15626000,,,,,,
Democratic Republic of Congo,1994,,,16259000,,,,,,
Democratic Republic of Congo,1995,,,22024000,,,,,,
Democratic Republic of Congo,1996,,,22240000,,,,,,
Democratic Republic of Congo,1997,,,20977000,,,,,,
Democratic Republic of Congo,1998,,,21362000,,,,,,
Democratic Republic of Congo,1999,,,22000000,,,,,,
Democratic Republic of Congo,2000,,,16500000,,,,,,
Democratic Republic of Congo,2001,,,18198000,,,,,,
Democratic Republic of Congo,2002,,,22503000,,,,,,
Democratic Republic of Congo,2003,,,26981000,,,,,,
Democratic Republic of Congo,2004,,,29503000,,,,,,
Democratic Republic of Congo,2005,,,33054998,,,,,,
Democratic Republic of Congo,2006,,,28990241,,,,,,
Democratic Republic of Congo,2007,,,28452496,,,,,,
Democratic Republic of Congo,2008,,,33401928,,,,,,
Democratic Republic of Congo,2009,,,21298459,,,,,,
Democratic Republic of Congo,2010,,,16964000,,,,,,
Democratic Republic of Congo,2011,,,19249057,,,,,,
Democratic Republic of Congo,2012,,,19154000,,,,,,
Democratic Republic of Congo,2013,,,16653000,,,,,,
Democratic Republic of Congo,2014,,,14689000,,,,,,
Democratic Republic of Congo,2015,,,14284000,,,,,,
France,1970,,,,,,,,1295,
France,1971,,,,,,,,1280,
France,1972,,,,,,,,1427,
France,1973,,,,,,,,1578,
France,1974,,,,,,,,1716,
France,1975,,,,,,,,1730,
France,1976,,,,,,,,1871,
France,1977,,,,,,,,2048,
France,1978,,,,,,,,2911,
France,1979,,,,,,,,3332,
France,1980,,,,,,,,2845,
France,1981,,,,,,,,2554,
France,1982,,,,,,,,2872,
France,1983,,,,,,,,3132,
France,1984,,,,,,,,3117,
France,1985,,,,,,,,3248,
France,1986,,,,,,,,3237,
France,1987,,,,,,,,3376,
France,1988,,,,,,,,3370,
France,1989,,,,,,,,3334,
France,1990,,,,,,,,2935,
France,1991,,,,,,,,2479,
France,1992,,,,,,,,2880,
France,1993,,,,,,,,1708,
France,1994,,,,,,,,1027,
France,1995,,,,,,,,981,
France,1996,,,,,,,,930,
France,1997,,,,,,,,748,
France,1998,,,,,,,,508,
France,1999,,,,,,,,438,
France,2000,,,,,,,,319,
France,2001,,,,,,,,194,
France,2002,,,,,,,,12,
Gabon,1970,,,,,,,,377,
Gabon,1971,,,,,,,,446,
Gabon,1972,,,,,,,,444,
Gabon,1973,,,,,,,,650,
Gabon,1974,,,,,,,,770,
Gabon,1975,,,,,,,,930,
Gabon,1976,,,,,,,,965,
Gabon,1977,,,,,,,,907,
Gabon,1978,,,,,,,,1022,
Gabon,1979,,,,,,,,1100,
Gabon,1980,,,,,,,,1034,
Gabon,1981,,,,,,,,1023,
Gabon,1982,,,,,,,,970,
Gabon,1983,,,,,,,,1009,
Gabon,1984,,,,,,,,918,
Gabon,1985,,,,,,,,939,
Gabon,1986,,,,,,,,917,
Gabon,1987,,,,,,,,794,
Gabon,1988,,,,,,,,930,
Gabon,1989,,,,,,,,890,
Gabon,1990,,,,,,,,709,
Gabon,1991,,,,,,,,678,
Gabon,1992,,,,,,,,594,
Gabon,1993,,,,,,,,509,
Gabon,1994,,,,,,,,589,
Gabon,1995,,,,,,,,630,
Gabon,1996,,,,,,,,560,
Gabon,1997,,,,,,,,472,
Gabon,1998,,,,,,,,731,
Gabon,1999,,,,,,,,294,
Germany,1975,,,,,,,,57,
Germany,1976,,,,,,,,38,
Germany,1977,,,,,,,,15,
Germany,1978,,,,,,,,41,
Germany,1979,,,,,,,,29,
Germany,1980,,,,,,,,41,
Germany,1981,,,,,,,,36,
Germany,1982,,,,,,,,34,
Germany,1983,,,,,,,,48,
Germany,1984,,,,,,,,33,
Germany,1985,,,,,,,,31,
Germany,1986,,,,,,,,22,
Germany,1987,,,,,,,,0,
Germany,1988,,,,,,,,0,
Germany,1989,,,,,,,,0,
Germany,1990,,,,,,,,0,
Germany,1991,,,,,,,,1207,
Germany,1992,,,,,,,,232,
Germany,1993,,,,,,,,116,
Germany,1997,,,,,,,,27,
Germany,1998,,,,,,,,25,
Germany,1999,,,,,,,,25,
Germany,2000,,,,,,,,28,
Germany,2001,,,,,,,,27,
Germany,2002,,,,,,,,221,
Germany,2003,,,,,,,,104,
Germany,2004,,,,,,,,77,
Germany,2005,,,,,,,,80,
Germany,2006,,,,,,,,65,
Germany,2007,,,,,,,,41,
Germany,2008,,,,,,,,0,
Germany,2009,,,,,,,,0,
Germany,2010,,,,,,,,8,
Germany,2011,,,,,,,,52,
Germany,2012,,,,,,,,50,
Germany,2013,,,,,,,,27,
Germany,2014,,,,,,,,33,
Germany,2015,,,,,,,,0,
Ghana,1970,,,2549500,,,,,,
Ghana,1971,,,2561700,,,,,,
Ghana,1972,,,2658717,,,,,,
Ghana,1973,,,2306788,,,,,,
Ghana,1974,,,2571745,,,,,,
Ghana,1975,,,2328278,,,,,,
Ghana,1976,,,2283000,,,,,,
Ghana,1977,,,1947000,,,,,,
Ghana,1978,,,1423000,,,,,,
Ghana,1979,,,1225600,,,,,,
Ghana,1980,,,1149200,,,,,,
Ghana,1981,,,836200,,,,,,
Ghana,1982,,,684200,,,,,,
Ghana,1983,,,339300,,,,,,
Ghana,1984,,,345800,,,,,,
Ghana,1985,,,636000,,,,,,
Ghana,1986,,,559200,,,,,,
Ghana,1987,,,442000,,,,,,
Ghana,1988,,,259431,,,,,,
Ghana,1989,,,285636,,,,,,
Ghana,1990,,,636503,,,,,,
Ghana,1991,,,687736,,,,,,
Ghana,1992,,,694029,,,,,,
Ghana,1993,,,616000,,,,,,
Ghana,1994,,,722800,,,,,,
Ghana,1995,,,622700,,,,,,
Ghana,1996,,,714300,,,,,,
Ghana,1997,,,829524,,,,,,
Ghana,1998,,,823125,,,,,,
Ghana,1999,,,680964,,,,,,
Ghana,2000,,,887049,,,,,,
Ghana,2001,,,1132102,,,,,,
Ghana,2002,,,963493,,,,,,
Ghana,2003,,,904089,,,,,,
Ghana,2004,,,905344,,,,,,
Ghana,2005,,,1065923,,,,,,
Ghana,2006,,,959405,,,,,,
Ghana,2007,,,839235,,,,,,
Ghana,2008,,,598042,,,,,,
Ghana,2009,,,354443,,,,,,
Ghana,2010,,,308679,,,,,,
Ghana,2011,,,283369,,,,,,
Ghana,2012,,,215118,,,,,,
Ghana,2013,,,159074,,,,,,
Ghana,2014,,,241235,,,,,,
Ghana,2015,,,174364,,,,,,
Guinea,1970,,,74000,,,,,,
Guinea,1971,,,74000,,,,,,
Guinea,1972,,,80000,,,,,,
Guinea,1973,,,80000,,,,,,
Guinea,1974,,,80000,,,,,,
Guinea,1975,,,80000,,,,,,
Guinea,1976,,,80000,,,,,,
Guinea,1977,,,80000,,,,,,
Guinea,1978,,,80000,,,,,,
Guinea,1979,,,85000,,,,,,
Guinea,1980,,,38000,,,,,,
Guinea,1981,,,38000,,,,,,
Guinea,1982,,,40000,,,,,,
Guinea,1983,,,40470,,,,,,
Guinea,1984,,,48300,,,,,,
Guinea,1985,,,87800,,,,,,
Guinea,1986,,,187960,,,,,,
Guinea,1987,,,195000,,,,,,
Guinea,1988,,,146440,,,,,,
Guinea,1989,,,148000,,,,,,
Guinea,1990,,,127286,,,,,,
Guinea,1991,,,97000,,,,,,
Guinea,1992,,,152653,,,,,,
Guinea,1993,,,167011,,,,,,
Guinea,1994,,,381464,,,,,,
Guinea,1995,,,364841,,,,,,
Guinea,1996,,,200664,,,,,,
Guinea,1997,,,417146,,,,,,
Guinea,1998,,,392488,,,,,,
Guinea,1999,,,382743,,,,,,
Guinea,2000,,,368599,,,,,,
Guinea,2001,,,323232,,,,,,
Guinea,2002,,,491160,,,,,,
Guinea,2003,,,666000,,,,,,
Guinea,2004,,,739784,,,,,,
Guinea,2005,,,548522,,,,,,
Guinea,2006,,,473862,,,,,,
Guinea,2007,,,1018723,,,,,,
Guinea,2008,,,3098490,,,,,,
Guinea,2009,,,696732,,,,,,
Guinea,2010,,,374096,,,,,,
Guinea,2011,,,235400,,,,,,
Guinea,2012,,,266800,,,,,,
Guinea,2013,,,202365,,,,,,
Guinea,2014,,,164059,,,,,,
Guinea,2015,,,162110,,,,,,
Guyana,1970,,,61081,,,,,,
Guyana,1971,,,47919,,,,,,
Guyana,1972,,,48666,,,,,,
Guyana,1973,,,52502,,,,,,
Guyana,1974,,,29976,,,,,,
Guyana,1975,,,20762,,,,,,
Guyana,1976,,,13897,,,,,,
Guyana,1977,,,16679,,,,,,
Guyana,1978,,,17226,,,,,,
Guyana,1979,,,15824,,,,,,
Guyana,1980,,,10236,,,,,,
Guyana,1981,,,9533,,,,,,
Guyana,1982,,,11492,,,,,,
Guyana,1983,,,12362,,,,,,
Guyana,1984,,,7496,,,,,,
Guyana,1985,,,11868,,,,,,
Guyana,1986,,,9379,,,,,,
Guyana,1987,,,7469,,,,,,
Guyana,1988,,,4357,,,,,,
Guyana,1989,,,8054,,,,,,
Guyana,1990,,,15279,,,,,,
Guyana,1991,,,29290,,,,,,
Guyana,1992,,,45967,,,,,,
